,sample,piece,field,analysis,Host,Length,Width,Phases,VL (%),VV (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Hmg Mode,salinity(NaCleq wt%),salChen(NaCleq wt%),salBod(NaCleq%)
91,BU18FA20,A,FF1,1,scorzalite,19.8,10.1,L - V,60.0,40.0,-56.67048611877344,-72.34325740623862,-21.753932364420617,-13.818351965704068,-3.7996817123244253,,,19.39645073795151,19.486202371106128,17.62649961517875
92,BU18FA20,A,FF4,1,scorzalite,20.8,6.3,L - V,65.0,35.0,-56.76968087375739,,,,,,,,,
93,BU18FA20,I,FF1,1,scorzalite,17.6,10.0,L - V,72.0,28.0,,-70.35936230655949,-24.92816452390724,-15.802247065383206,-5.3867977920677355,,,20.758815750924622,20.857184220317485,19.288692309177076
94,BU18FA22,D,FF1,1,scorzalite,13.9,12.4,L - V,70.0,30.0,,-71.35130985639906,-23.341048444163928,-13.322378190784285,2.2511983416969437,,,12.91071309221757,12.866120698225819,17.1860071203214
95,BU18FA22,D,FF1,2,scorzalite,14.4,7.6,L - V,74.0,26.0,,-70.35936230655949,-22.547490404292272,-10.842509316185362,2.8463668716006847,,,12.130224149258229,12.072928298094373,14.813491752293384
96,BU18FA22,D,FF1,3,scorzalite,15.7,7.2,L - V,65.0,35.0,,-71.35130985639906,-22.9442694242281,-11.437677846089104,1.060861281889461,,,14.384949611969667,14.36895594369945,15.41023091347856
97,BU18FA20,C,FF1,5,bertossaite,28.2,18.0,L - V,80.0,20.0,-56.17451234385366,-73.33520495607819,-23.737827464099755,-11.933651621008888,-1.4190075927094608,27.04988708768616,,17.12295280718869,17.16924477330564,15.893906768709378
98,BU18FA20,C,FF1,6,bertossaite,20.8,14.3,L - L - V,78.0,22.0,-56.57129136378948,-71.35130985639906,-23.241853689179973,-15.207078535479464,-1.5182023476934177,26.950692332702207,,17.224051220988436,17.272638308869833,18.805929415674292
99,BU18FA20,C,FF1,7,bertossaite,15.6,9.3,L - L - V,74.0,26.0,-56.17451234385366,-72.34325740623862,-22.646685159276227,-11.735262111040974,-2.5101498975329863,26.553913312766376,,18.203202148433505,18.27281839433743,15.701891445287343
100,BU18FA20,C,FF1,8,bertossaite,26.0,17.3,L - L - V,76.0,24.0,-56.37290185382156,-74.32715250591775,-23.142658934196014,-11.23928833612119,-1.3198128377255038,26.653108067750335,,17.021252594906496,17.06522110814068,15.213327472153118
101,BU18FA20,C,FF1,9,bertossaite,37.8,25.6,L - L - V,76.0,24.0,-56.37290185382156,-72.34325740623862,-22.9442694242281,-11.834456866024931,-1.4190075927094608,27.248276597654073,,17.12295280718869,17.16924477330564,15.79813943550041
102,BU18FA20,C,FF1,10,bertossaite,11.6,10.0,L - L - V,71.0,29.0,,-71.35130985639906,-25.027359278891197,-11.53687260107306,-1.4190075927094608,26.75230282273429,,17.12295280718869,17.16924477330564,15.507940446190911
103,BU18FA20,B,FF2,5,bertossaite,14.1,10.0,L - V,78.0,22.0,,,-20.761984814581048,-9.652172256377881,3.4415354015044257,,,11.319164493381507,11.250705432430744,13.563875032294233
104,BU18FA20,F,FF1,4,bertossaite,34.1,15.6,L - V,78.0,22.0,,-71.35130985639906,-21.257958589500834,-6.577134851875218,4.135898686392124,,,10.332632360746945,10.253572842503026,9.95374207541663
105,BU18FA20,F,FF1,5,bertossaite,8.9,5.3,L - V - S,66.0,30.0,,-72.34325740623862,-22.349100894324362,-12.032846375992845,3.8383144214402534,,,10.760860651103963,10.685991554494237,15.98919670682874
110,BU18FA32,B,FF2,1,brazilianite,26.2,20.7,L - V - S,77.5,22.0,,-71.57858456837901,-24.015754340468305,-9.96309995494923,4.97398722406405,,,9.081416118535099,8.993809538632817,13.897734103370546
111,BU18FA32,B,FF2,2,brazilianite,30.6,9.5,L - V,80.0,20.0,,,-24.605376202797775,-10.15964057572572,5.072257534452294,,,8.930223645208315,8.841961572115927,14.106015576417356
112,BU18FA32,B,FF2,3,brazilianite,26.2,9.2,L - V - S,75.0,24.0,,,-23.91748403008006,-9.96309995494923,4.875716913675804,,,9.231654048824165,9.144779768312938,13.897734103370546
113,BU18FA32,B,FF2,4,brazilianite,30.9,12.3,L - V,78.0,22.0,,,-23.622673098915325,-10.15964057572572,4.777446603287558,,,9.38094302992798,9.294876246963362,14.106015576417356
114,BU18FA32,B,FF2,5,brazilianite,22.7,17.1,L - V - S,77.0,22.0,,,-24.507105892409534,-9.96309995494923,4.97398722406405,,CO2=L,9.081416118535099,8.993809538632817,13.897734103370546
115,BU18FA20,B,FF4,1,bertossaite,24.5,20.4,L - L - V,78.0,22.0,-56.05187552703626,-48.9764131790826,-25.981160548233213,-12.22331709387887,-8.587315609513798,29.050213269184137,CO2=L,23.24100101214903,23.27619457152246,16.17084303616744
116,BU18FA20,B,FF4,2,bertossaite,19.8,14.5,L - L - V,77.0,23.0,-56.05187552703626,-48.9764131790826,-26.37424178978619,-11.731965541937646,-8.194234367960815,29.050213269184137,CO2=L,22.950472639177786,23.000596071394096,15.698684516606543
117,BU18FA20,B,FF4,3,bertossaite,28.6,21.2,L - L - V,77.0,23.0,-56.05187552703626,-48.9764131790826,-26.570782410562682,-11.535424921161155,-8.882126540678533,29.050213269184137,CO2=L,23.456960503726183,23.47943869395977,15.506517976627661
118,BU18FA20,B,FF4,4,bertossaite,26.0,8.2,L - L - V,75.0,25.0,-55.85533490625976,-48.9764131790826,-25.981160548233213,-11.731965541937646,-8.783856230290287,29.050213269184137,CO2=L,23.385147274843266,23.412011705595944,15.698684516606543
119,BU18FA20,B,FF4,5,bertossaite,29.0,15.8,L - V - S,72.0,12.0,-55.85533490625976,-48.9764131790826,-25.981160548233213,-12.125046783490626,5.6618793967817655,29.050213269184137,CO2=L,8.00271014571716,7.912218094246143,16.07734239804489
120,BU18FA20,J,FF1,1,trolleite,18.4,12.8,L - V - S,70.0,26.0,,-71.57858456837901,-23.819213719691813,-14.286993612032022,2.320688843581427,,,12.82112109079005,12.774977614267135,18.03316780842559
121,BU18FA20,J,FF1,2,trolleite,22.0,9.0,L - V - S,69.0,26.0,,-71.57858456837901,-23.229591857362344,-15.073156095137984,2.418959153969672,,,12.693737837264916,12.645429524059718,18.695490541171797
122,BU18FA20,J,FF1,3,trolleite,16.9,11.8,L - V - S,71.0,21.0,,-71.57858456837901,-23.72094340930357,-12.812938956208342,2.713770085134408,,,12.306711084038552,12.252124675092256,16.722314884511118
123,BU18FA19,A,FF7b,1,trolleite,21.7,13.2,L - V,80.0,20.0,,,-23.707840633897703,-8.161843821335562,6.498621527219875,,,6.624765812639447,6.536634203723109,11.886513042813725
124,BU18FA19,A,FF7b,2,trolleite,14.0,11.6,L - V,76.0,24.0,,,-21.54320816632576,-8.752198130673365,1.382217512958917,14.665189473059483,CO2=V,13.9979441837764,13.973925787834817,12.566577479894136
125,BU18FA19,A,FF7b,3,trolleite,14.7,9.3,L - V - S,61.0,24.0,,,-19.67375285342272,-8.457020976004463,4.03881190497903,13.189303699714975,CO2=V,10.473248122614311,10.39549431065788,12.229165100445424
126,BU18FA19,A,FF7b,4,trolleite,20.2,11.1,L - V - S,68.0,19.0,-58.932314424386604,,-20.460891932539784,-15.836449842727,2.2677489769656214,13.386088469494242,CO2=V,12.889411204921602,12.844447903360454,19.316045655197065
127,BU18FA19,A,FF7b,5,trolleite,17.1,9.6,L - V - S,63.0,25.0,,,-19.870537623201987,-16.033234612506263,2.464533746744889,10.72949407747413,,12.634387313112137,12.585086799915803,19.472620274701374
128,BU18FA19,A,FF7b,6,trolleite,17.1,8.4,L - V - S,66.0,22.0,,,-20.460891932539784,-15.934842227616633,2.562926131634523,,,12.505657602061046,12.454241423479772,19.394503089066358
129,BU18FA19,A,FF7b,7,trolleite,16.3,7.9,L - V - S,59.0,23.0,,,-20.854461472098322,-17.0171584614026,1.9725718222967197,,,13.265942437778394,13.227725445150236,20.235778825675347
130,BU18FA19,A,FF7b,8,trolleite,16.2,10.0,L - V - S,52.0,27.0,-59.2274915790555,,-20.657676702319055,-16.721981306733703,2.562926131634523,15.64911332195582,CO2=V,12.505657602061046,12.454241423479772,20.01018102899924
131,BU18FA19,A,FF7b,9,trolleite,14.8,7.0,L - V,74.0,26.0,,,-21.248031011656856,-15.442880303168465,1.8741794374070861,,,13.389874079668525,13.353963531563938,18.998749769421668
132,BU18FA19,A,FF7b,10,trolleite,14.7,7.7,L - V,69.0,31.0,,,-19.870537623201987,-16.033234612506263,2.366141361855255,,,12.762303309157337,12.715154292982891,19.472620274701374
133,BU18FA19,B,FF1,1,trolleite,28.6,16.7,S - L - V,46.0,17.0,-57.14831297709641,-39.80755168687442,-25.655895921290952,-23.06474768252215,0.2555864663970833,22.57932513886678,CO2=V,15.320788790702094,15.325380033734023,24.376035157894442
134,BU18FA19,B,FF1,2,trolleite,17.9,10.2,L - V - S,72.0,24.0,-57.23774352925035,,-24.57892599574085,-23.58018539838582,1.3883295354899494,23.76011891624264,CO2=V,13.990506438137718,13.966337106668524,24.699343684073195
135,BU18FA19,B,FF1,3,trolleite,18.6,12.4,L - V - S,71.0,21.0,-57.23774352925035,,-24.179429756798836,-23.080815099708303,1.0887073562834404,,,14.351727396998402,14.335032160691966,24.3861564807267
136,BU18FA19,B,FF1,4,trolleite,28.6,11.3,L - V - S,76.0,21.0,-57.43749164872136,,-23.97968163732783,-17.78748993372664,2.1873220133739744,22.062259900739086,CO2=V,12.992714198990765,12.94956181379266,20.811805197020494
137,BU18FA19,B,FF1,5,trolleite,13.3,7.6,L - V,76.0,24.0,-57.137869469514854,,-24.27930381653434,-23.879807577592327,1.6879517146964587,24.059741095449148,CO2=V,13.622309309365908,13.590834443569442,24.88608086685261
138,BU18FA19,B,FF1,6,trolleite,21.9,10.1,L - V - S,62.0,28.0,-56.985128184453934,,-24.905726053813623,-22.807073577977345,1.0775903136832028,19.46578343529634,CO2=V,14.364997821362445,14.348582548090409,24.213310272019555
139,BU18FA19,B,FF1,7,trolleite,15.8,9.2,L - V - S,73.0,18.0,-57.284935681001976,,-23.606560235438785,-17.610410304477977,2.4766919642407244,,,12.618524528470758,12.568960612280573,20.680967670453015
140,BU18FA19,B,FF1,8,trolleite,25.9,13.1,S - L - V,51.0,19.0,-56.985128184453934,,-24.206175228534864,-16.710987814833857,2.7764994607887643,,,12.223406245437,12.167528765656417,20.001724742111232
141,BU18FA19,B,FF1,9,trolleite,11.1,6.6,L - V - S,67.0,23.0,,,-24.106239396352187,-14.012720345901494,2.5766277964234043,,,12.487666438197396,12.43595857551393,17.79627026701108
142,BU18FA19,B,FF1,10,trolleite,14.2,8.2,L - V,71.0,29.0,-57.184999848819295,,-23.40668857107342,,1.9770128033273238,23.063473393872826,CO2=V,13.260330243578828,13.222009791294298,
143,BU18FA19,B,FF1,MI,trolleite,19.5,17.4,S - L - V,16.0,12.0,-56.985128184453934,,-22.807073577977345,,,17.1672592950947,CO2=V,,,
144,BU18FA19,C,FFore1,1,trolleite,9.5,6.8,L - V - S,68.0,30.0,,,,,,,,,,
145,BU18FA19,C,FFore1,2,trolleite,8.0,5.3,L - V,75.0,25.0,,,-24.006303564169503,-15.811565325189736,1.8770769711446436,,,13.386235621190378,13.350256769573441,19.29614861943203
146,BU18FA19,C,FFore1,3,trolleite,11.1,6.1,L - V - S,65.0,32.0,,,-23.606560235438785,-15.511757828641695,2.176884467692684,,,13.006081372306383,12.963165552972535,19.054684475671685
147,BU18FA19,C,FFore1,4,trolleite,12.4,7.2,L - V,64.0,36.0,-56.78525652008857,,,,1.277461978048563,,,14.124971711089447,14.103550757866607,
148,BU18FA19,C,FFore1,5,trolleite,10.1,7.6,L - V - S,69.0,30.0,-56.985128184453934,,-23.70649606762146,-22.40733024924662,2.376756132058044,,,12.748542458833217,12.701159659499194,23.95924556299766
149,BU18FA19,C,FFore1,6,trolleite,11.7,9.7,L - V - S,67.0,23.0,-56.885192352271254,,-24.505982725082905,-17.810281968843338,2.4766919642407244,,,12.618524528470758,12.568960612280573,20.828579039121813
