,Date,sample,piece,field,Host,analysis,Length,Width,Phases,VL (%),VV (%),VS (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Tm Xts,Th total,Hmg Mode,Type
141,20/09/2021,BU18FA19,B,FF1,trolleite,9,11.1,6.6,L - V - S,67,23,10,,,-24.1,-14,2.6,,,,,
142,20/09/2021,BU18FA19,B,FF1,trolleite,10,14.2,8.2,L - V,71,29,,-57.2,,-23.4,,2,23.1,,,CO2=V,
143,20/09/2021,BU18FA19,B,FF1,trolleite,MI,19.5,17.4,S - L - V,16,12,72,-57,,-22.8,,,17.2,,,CO2=V,
144,20/09/2021,BU18FA19,C,FFore1,trolleite,1,9.5,6.8,L - V - S,68,30,2,,,,,,,,,,
145,20/09/2021,BU18FA19,C,FFore1,trolleite,2,8,5.3,L - V,75,25,,,,-24,-15.8,1.9,,,,,
146,20/09/2021,BU18FA19,C,FFore1,trolleite,3,11.1,6.1,L - V - S,65,32,3,,,-23.6,-15.5,2.2,,,,,
147,20/09/2021,BU18FA19,C,FFore1,trolleite,4,12.4,7.2,L - V,64,36,,-56.8,,,,1.3,,,,,
148,20/09/2021,BU18FA19,C,FFore1,trolleite,5,10.1,7.6,L - V - S,69,30,1,-57,,-23.7,-22.4,2.4,,,,,
149,20/09/2021,BU18FA19,C,FFore1,trolleite,6,11.7,9.7,L - V - S,67,23,10,-56.9,,-24.5,-17.8,2.5,,,,,
150,20/09/2021,BU18FA19,C,FFore1,trolleite,7,7.7,6.7,L - V,74,26,,,,-24.2,-14.6,2,,,,,
151,6/10/2021,BU18FA19,D,FFore2,quartz,1,15,13.8,L - V,78,22,,,,-23.4,-19.3,1.3,,,,,
152,6/10/2021,BU18FA19,D,FFore2,quartz,2,7.7,6.6,L - V,75,25,,,,-23.1,-17,2.1,,,,,
153,6/10/2021,BU18FA19,D,FFore2,quartz,3,9,8.4,L - V,77,23,,,,-24,-18.4,0.1,,,,,
154,6/10/2021,BU18FA19,D,FFore2,quartz,4,8.6,7.6,L - V,71,29,,,,-24.2,-19.4,-1.4,,,,,
155,6/10/2021,BU18FA19,D,FFore2,quartz,5,19,18,L - V,80,20,,-57.9,,-24.9,-16.5,-0.7,14.3,,,CO2=V,
156,6/10/2021,BU18FA19,D,FFore2,quartz,6,7.4,5.5,V - L,30,70,,,,,,,,,,,
157,6/10/2021,BU18FA19,D,FFore2,quartz,7,10.9,7.9,L - V,77,23,,-58.1,,-24.3,-18.6,0.9,,,,,
158,6/10/2021,BU18FA19,D,FFore2,quartz,8,6.3,6.2,L - V,76,24,,,,-24.8,-18.4,1.1,,,,,
159,6/10/2021,BU18FA19,D,FFore2,quartz,9,9,4.8,L - V,85,15,,,,-24.4,-22.1,3,13.5,,,CO2=V,
160,13/10/2021,BU18FA19,D,FFore2,quartz,11,14.2,8.7,L - V,78,22,,-57.4,,-24.1,-20.8,-1.1,,,,,
161,13/10/2021,BU18FA19,D,FFore2,quartz,12,12.1,8.2,L - V,79,21,,-57.3,,-23.7,-18.1,0.2,,,,,
162,13/10/2021,BU18FA19,D,FFore2,quartz,13,8.8,6.3,L - V,77,23,,,,-23.9,-18,0.2,,,,,
163,13/10/2021,BU18FA19,E,FF11,bertossaite,1,18.7,17.9,L - V,67,33,,,,-21.5,-16.2,2.5,,,,,
164,13/10/2021,BU18FA19,E,FF11,bertossaite,2,23,11.1,L - V,78,22,,,,-22.4,-16.3,2.4,,,,,
165,13/10/2021,BU18FA19,E,FF11,bertossaite,3,11.7,6.7,L - V,82,18,,,,-22.3,-17.3,2.2,,,,,
166,13/10/2021,BU18FA19,E,FF11,bertossaite,4,6.2,6.2,L - V,65,35,,,,-23,-16.4,1.6,,,,,
167,13/10/2021,BU18FA19,E,FF11,bertossaite,5,16.3,5,L - V,82,18,,,,-23.9,-16.4,2.4,,,,,
168,13/10/2021,BU18FA19,E,FF11,bertossaite,6,26.5,21.7,L - V,75,25,,,,-20.9,-15.4,2.6,,,,,
169,13/10/2021,BU18FA19,E,FF11,bertossaite,7,27.5,22.2,L - V,70,30,,-57.3,,-23.9,-19,1.3,24.2,,,CO2=V,
170,21/10/2021,BU18FA19,E,FF11,bertossaite,8,13.5,4.7,L - V,80,20,,,,-22.3,-17.6,,,,,,
171,21/10/2021,BU18FA19,E,FF11,bertossaite,9,12.2,9.7,L - V,82,18,,-57.2,,-22.9,-17.9,2.3,,,,,
172,21/10/2021,BU18FA19,E,FF11,bertossaite,10,20.4,9.4,L - V,80,20,,,,-24.2,-17.3,1.5,,,,,
173,21/10/2021,BU18FA19,E,FF11b,quartz,1,8.7,6.2,L - V,78,22,,,,-23.7,-17.6,0.9,,,,,
174,21/10/2021,BU18FA19,E,FF11b,quartz,2,21.9,9.5,L - V,74,26,,,,-24.2,-20.5,0.1,,,,,
175,21/10/2021,BU18FA19,E,FF11b,quartz,3,9.6,6.3,L - V,80,20,,-57.8,,-23.9,-19.8,-0.4,,,,,
176,21/10/2021,BU18FA19,E,FF11b,quartz,4,11.3,5.3,L - V,75,25,,,,-23.9,-19.7,-1.4,,,,,
177,21/10/2021,BU18FA19,E,FF11b,quartz,5,7.9,7.8,L - V,75,25,,,,-24,-15,-0.3,,,,,
178,21/10/2021,BU18FA19,E,FF11b,quartz,6,6.6,5.4,L - V,75,25,,,,-24.3,-15.4,-3.6,,,,,
179,21/10/2021,BU18FA19,E,FF11b,quartz,7,8.6,8.3,L - V,65,35,,,,-24.7,-11.7,0.8,,,,,
180,21/10/2021,BU18FA19,E,FF11b,quartz,8,14.5,9.4,L - V,75,25,,-58,,-24.3,-13.7,-0.5,14.2,,,CO2=V,
181,21/10/2021,BU18FA19,E,FF11b,quartz,9,26.1,14.7,L - V,64,36,,-57.8,,-24.2,-11.3,-4.9,19.8,,,CO2=V,
182,21/10/2021,BU18FA19,E,FF11b,quartz,10,13.1,11.3,L - V,68,32,,-57.6,,-22.9,-15.3,-0.4,18.9,,,CO2=V,
183,28/10/2021,BU18FA19,D,FF2,trolleite,1,54.8,39.5,L - V - S,65,15,20,-57.2,,-24,-18.5,1.6,,,,,
184,28/10/2021,BU18FA19,D,FF2,trolleite,2,38.3,31,L - V,87,13,,,,-23.2,-13.4,1.7,,,,,
185,28/10/2021,BU18FA19,D,FF2,trolleite,3,41.1,15.3,L - V - S,77,20,3,-57.3,,-22.8,-15.9,2.2,,,,,
186,28/10/2021,BU18FA19,D,FF2,trolleite,4,12.5,7.8,L - V - S,79,18,3,,,-23.9,-15.3,2.5,,,,,
187,28/10/2021,BU18FA19,D,FF2,trolleite,5,16.3,12.5,L - V,80,20,,,,-23.5,-15,2.6,,,,,
188,28/10/2021,BU18FA19,D,FF2,trolleite,6,13.7,8.9,L - V,78,22,,-57.2,,-23,-16,2.2,,,,,
189,28/10/2021,BU18FA19,D,FF2,trolleite,7,13.4,9.2,L - V,77,23,,-57.1,,-23.8,-17.4,0.5,,,,,
190,28/10/2021,BU18FA19,D,FF2,trolleite,8,16.2,12.5,L - V,85,15,,,,-23,-16.4,1.9,,,,,
191,28/10/2021,BU18FA19,D,FF2,trolleite,9,10.2,8.9,L - V,80,20,,,,-21.4,-16.7,2.1,,,,,
192,28/10/2021,BU18FA19,D,FF2,trolleite,10,11.5,10,L - V,80,20,,,,-21.9,-16.3,2.2,,,,,
