#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-10.8896 ... -8.3655
#X (µm)=	-8.60704 ... -6.60704
#Generated=	29.03.2022 09:29:50
3620.39	152.455
3623.43	177.121
3626.47	170.438
3629.5	150.266
3632.54	126.449
3635.57	103.749
3638.61	85.8076
3641.64	74.3208
3644.67	68.0891
3647.7	65.5428
3650.73	62.6422
3653.75	57.5688
3656.78	47.5952
3659.8	36.4537
3662.83	26.3789
3665.85	18.2098
3668.87	12.0646
3671.89	8.24918
3674.91	5.52516
3677.92	3.88363
3680.94	3.61089
3683.96	2.20392
3686.97	1.18703
3689.98	0.803787
3692.99	0.988866
3696	2.48373
3699.01	2.06059
3702.02	1.05306
3705.02	1.40303
3708.03	2.58723
3711.03	3.99309
3714.03	6.03643
3717.04	7.45507
3720.04	8.36495
3723.04	8.54901
3726.03	8.67766
3729.03	8.21859
3732.03	7.6898
3735.02	8.35897
3738.01	8.07595
3741	8.37989
3743.99	8.73664
3746.98	9.02725
3749.97	9.50693
3752.96	9.6462
3755.95	10.2324
3758.93	10.347
3761.91	10.0802
3764.9	9.7459
3767.88	10.0768
3770.86	10.4426
3773.84	10.2474
3776.81	11.0975
3779.79	12.1458
3782.77	12.1627
3785.74	12.5726
3788.71	13.2109
3791.68	13.6958
3794.65	14.504
3797.62	14.6804
3800.59	14.1008
3803.56	13.8717
3806.52	14.1618
3809.49	14.6732
3812.45	14.8604
3815.41	15.6059
3818.37	16.0496
3821.33	17
3824.29	18.518
3827.25	18.8592
3830.21	18.9198
3833.16	18.264
3836.11	16.7199
3839.07	15.4217
3842.02	14.6573
3844.97	13.6564
3847.92	14.1169
3850.87	15.3262
3853.81	16.7823
3856.76	18.6848
3859.7	19.6662
3862.65	19.1717
3865.59	19.0106
3868.53	18.5129
3871.47	18.3894
3874.41	19.3224
3877.34	19.8714
3880.28	20.069
3883.22	19.6878
3886.15	18.9001
3889.08	17.9822
3892.01	17.0494
3894.94	16.9286
3897.87	17.0254
3900.8	17.0648
3903.73	17.5844
3906.65	17.3693
3909.58	17.1744
3912.5	16.9243
3915.42	17.4168
3918.35	18.2328
3921.27	18.8457
3924.18	19.2515
3927.1	18.9466
3930.02	18.9167
3932.93	18.829
3935.85	18.3074
3938.76	17.9776
3941.67	17.7454
3944.58	17.1435
3947.49	16.5554
3950.4	16.2962
3953.31	15.4243
3956.22	14.7784
3959.12	13.4991
3962.02	12.1117
3964.93	11.7913
3967.83	11.2965
3970.73	11.1474
3973.63	11.8055
3976.53	12.3862
3979.42	12.5999
3982.32	12.7471
3985.21	11.766
3988.11	10.7715
3991	11.1674
3993.89	7.67953
3996.78	5.92499
3999.67	10.081
