#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-5.8414 ... -3.3173
#X (µm)=	4.39296 ... 6.39296
#Generated=	29.03.2022 09:29:06
3243.37	19.7848
3246.56	19.5999
3249.76	19.55
3252.95	19.8165
3256.14	20.578
3259.32	21.1313
3262.51	21.0519
3265.7	20.7641
3268.88	20.5225
3272.06	19.3915
3275.24	18.513
3278.42	18.6056
3281.6	19.1224
3284.78	20.5356
3287.96	22.6271
3291.13	22.6045
3294.31	22.6616
3297.48	22.1988
3300.65	21.6693
3303.82	22.7749
3306.99	25.6202
3310.15	28.1556
3313.32	31.2752
3316.48	34.4613
3319.65	36.4026
3322.81	38.35
3325.97	40.8465
3329.13	42.6105
3332.28	45.6603
3335.44	50.3749
3338.6	57.2661
3341.75	67.5111
3344.9	81.5079
3348.05	97.3365
3351.2	120.015
3354.35	150.339
3357.5	181.668
3360.65	225.778
3363.79	326.956
3366.94	454.065
3370.08	711.432
3373.22	1132.14
3376.36	1457.55
3379.5	1473.88
3382.63	1123.96
3385.77	760.21
3388.9	503.786
3392.04	378.154
3395.17	279.923
3398.3	214.293
3401.43	180.226
3404.56	149.126
3407.69	138.752
3410.81	130.642
3413.94	119.935
3417.06	144.642
3420.18	198.858
3423.3	323.8
3426.42	555.073
3429.54	626.859
3432.65	442.02
3435.77	229.189
3438.88	146.459
3442	95.1961
3445.11	68.5465
3448.22	52.2899
3451.33	42.7582
3454.43	39.5293
3457.54	38.2831
3460.65	36.0979
3463.75	35.7744
3466.85	38.4337
3469.95	40.5916
3473.05	44.7791
3476.15	50.5132
3479.25	58.08
3482.35	66.4012
3485.44	79.1732
3488.54	93.2017
3491.63	113.155
3494.72	137.562
3497.81	178.996
3500.9	229.793
3503.99	296.789
3507.07	357.391
3510.16	413.886
3513.24	401.678
3516.32	335.357
3519.41	273.811
3522.49	212.617
3525.56	161.27
3528.64	122.946
3531.72	96.538
3534.79	76.2934
3537.87	63.3135
3540.94	53.8051
3544.01	47.9254
3547.08	43.3879
3550.15	38.5619
3553.22	32.6088
3556.28	28.0577
3559.35	24.2337
3562.41	20.9817
3565.47	18.5664
3568.54	17.8133
3571.6	16.8324
3574.65	16.5455
3577.71	16.7966
3580.77	17.1245
3583.82	17.8916
3586.88	18.9085
3589.93	19.3889
3592.98	19.7868
3596.03	18.4908
3599.08	16.5846
3602.13	14.8754
3605.18	13.4249
3608.22	12.5199
3611.27	11.7734
3614.31	11.5872
3617.35	11.2144
3620.39	10.7835
3623.43	10.0973
3626.47	8.44698
3629.5	7.27344
3632.54	6.57412
3635.57	6.31082
3638.61	7.48548
3641.64	9.09201
3644.67	10.4163
3647.7	11.3216
3650.73	11.6047
3653.75	9.57084
3656.78	8.31847
3659.8	7.75729
3662.83	6.84354
3665.85	8.29168
3668.87	9.27959
3671.89	8.67866
3674.91	8.45721
3677.92	8.25184
3680.94	7.27666
3683.96	6.45124
3686.97	5.94291
3689.98	5.20453
3692.99	4.94853
3696	5.32983
3699.01	5.72717
3702.02	6.6188
3705.02	7.39395
3708.03	7.2849
3711.03	7.37863
3714.03	7.54967
3717.04	7.73658
3720.04	7.36198
3723.04	6.73392
3726.03	5.88869
3729.03	5.26738
3732.03	5.29261
3735.02	4.63577
3738.01	3.33501
3741	2.60576
3743.99	1.75185
3746.98	1.98897
3749.97	3.36469
3752.96	4.72783
3755.95	5.72086
3758.93	6.8077
3761.91	6.71741
3764.9	7.05194
3767.88	7.57939
3770.86	7.30243
3773.84	7.00506
3776.81	6.85765
3779.79	6.23841
3782.77	5.74049
3785.74	5.76217
3788.71	5.53098
3791.68	5.49789
3794.65	5.70187
3797.62	5.72553
3800.59	5.95579
3803.56	6.01389
3806.52	6.0129
3809.49	6.7861
3812.45	8.31386
3815.41	7.52763
3818.37	6.60197
3821.33	5.45372
3824.29	4.79757
3827.25	6.19426
3830.21	7.47918
3833.16	7.59088
3836.11	7.84273
3839.07	7.98374
3842.02	7.80016
3844.97	8.36836
3847.92	9.21267
3850.87	8.81433
3853.81	8.77048
3856.76	9.50138
3859.7	9.63665
3862.65	9.1113
3865.59	8.52246
3868.53	7.42961
3871.47	6.85837
3874.41	6.24226
3877.34	5.55604
3880.28	5.08754
3883.22	5.12652
3886.15	5.22695
3889.08	5.82685
3892.01	6.3073
3894.94	7.01079
3897.87	7.58568
3900.8	7.96407
3903.73	8.07742
3906.65	8.24408
3909.58	8.4434
3912.5	9.27899
3915.42	10.4283
3918.35	11.3321
3921.27	11.6073
3924.18	11.2302
3927.1	11.0149
3930.02	10.3975
3932.93	10.1939
3935.85	10.4678
3938.76	9.70556
3941.67	8.66723
3944.58	7.76265
3947.49	6.41704
3950.4	6.2268
3953.31	6.72632
3956.22	6.84452
3959.12	7.15719
3962.02	7.8145
3964.93	8.3736
3967.83	8.88697
3970.73	9.33877
3973.63	9.61665
3976.53	9.99046
3979.42	11.3181
3982.32	11.0231
3985.21	10.3672
3988.11	8.96062
3991	5.79497
3993.89	6.50043
3996.78	13.1779
3999.67	3.69565
